date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
01/07/2016 00:00,5.827000141143799,2.009000062942505,1.5989999771118164,0.4620000123977661,4.203000068664552,1.3400000333786009,30.53100014
01/07/2016 01:00,5.692999839782715,2.075999975204468,1.4919999837875366,0.4259999990463257,4.142000198364259,1.371000051498413,27.78700065612793
01/07/2016 02:00,5.1570000648498535,1.741000056266785,1.2790000438690186,0.35499998927116394,3.776999950408936,1.218000054359436,27.78700065612793
01/07/2016 03:00,5.0900001525878915,1.9420000314712524,1.2790000438690186,0.3910000026226044,3.806999921798706,1.2790000438690186,25.04400062561035
01/07/2016 04:00,5.357999801635742,1.9420000314712524,1.4919999837875366,0.4620000123977661,3.868000030517578,1.2790000438690186,21.947999954223643
01/07/2016 05:00,5.625999927520752,2.1429998874664307,1.5279999971389768,0.5329999923706055,4.051000118255615,1.371000051498413,21.173999786376953
01/07/2016 06:00,7.166999816894531,2.9470000267028813,2.131999969482422,0.7820000052452087,5.026000022888184,1.8580000400543213,22.79199981689453
01/07/2016 07:00,7.434999942779541,3.282000064849853,2.309999942779541,1.031000018119812,5.086999893188477,2.2239999771118164,23.143999099731445
01/07/2016 08:00,5.559000015258789,3.013999938964844,2.451999903,1.1729999780654907,2.9549999237060547,1.4320000410079956,21.66699981689453
01/07/2016 09:00,4.554999828338623,2.5450000762939453,1.919000029563904,0.8169999718666077,2.6800000667572017,1.371000051498413,17.445999145507812
01/07/2016 10:00,4.956999778747559,2.5450000762939453,1.9900000095367432,0.8529999852180481,2.9549999237060547,1.4919999837875366,19.979000091552734
01/07/2016 11:00,5.760000228881836,2.5450000762939453,2.203000068664551,0.8529999852180481,3.441999912261963,1.4919999837875366,20.11899948120117
01/07/2016 12:00,4.689000129699707,2.5450000762939453,1.812000036239624,0.8529999852180481,2.8329999446868896,1.5230000019073486,19.20499992370605
01/07/2016 13:00,4.689000129699707,2.678999900817871,1.7769999504089355,1.243999958,3.1070001125335693,1.6139999628067017,18.57200050354004
01/07/2016 14:00,5.0900001525878915,2.9470000267028813,2.451999903,1.350000023841858,2.559000015258789,1.4320000410079956,19.55599975585937
01/07/2016 15:00,5.0900001525878915,3.1480000019073486,2.486999988555908,1.350000023841858,2.588999987,1.5230000019073486,17.305000305175778
01/07/2016 16:00,4.2199997901916495,2.4110000133514404,1.7059999704360962,0.7820000052452087,2.618999958,1.4919999837875366,19.48600006103516
01/07/2016 17:00,4.756000042,2.344000101089477,1.6349999904632568,0.7110000252723694,3.075999975204468,1.4919999837875366,19.13400077819824
01/07/2016 18:00,5.625999927520752,2.880000114440918,2.5230000019073486,1.2079999446868896,3.075999975204468,1.4919999837875366,20.68199920654297
01/07/2016 19:00,5.492000102996826,3.013999938964844,2.451999903,1.2079999446868896,3.015000104904175,1.5529999732971191,18.71199989318848
01/07/2016 20:00,5.357999801635742,3.013999938964844,2.451999903,1.2079999446868896,2.862999916,1.5230000019073486,17.868000030517578
01/07/2016 21:00,5.0900001525878915,2.9470000267028813,2.381000042,1.2079999446868896,2.6800000667572017,1.5230000019073486,18.009000778198242
01/07/2016 22:00,4.822999954223633,2.9470000267028813,2.203000068664551,1.1729999780654907,2.618999958,1.5230000019073486,18.009000778198242
01/07/2016 23:00,4.622000217437744,2.880000114440918,2.131999969482422,1.1369999647140503,2.4670000076293945,1.4919999837875366,19.76799964904785
02/07/2016 00:00,5.223999977111816,3.0810000896453857,2.700999975204468,1.315000057220459,2.437000036239624,1.5230000019073486,21.104000091552734
02/07/2016 01:00,5.1570000648498535,3.013999938964844,2.878000020980835,1.350000023841858,2.345000028610229,1.4320000410079956,19.69700050354004
02/07/2016 02:00,5.1570000648498535,3.1480000019073486,2.878000020980835,1.4919999837875366,2.2839999198913574,1.4320000410079956,20.048999786376953
02/07/2016 03:00,5.1570000648498535,3.0810000896453857,2.9140000343322754,1.4919999837875366,2.193000078201294,1.4010000228881836,20.75200080871582
02/07/2016 04:00,4.554999828338623,3.0810000896453857,2.451999903,1.4919999837875366,2.193000078201294,1.4010000228881836,21.38500022888184
02/07/2016 05:00,5.425000190734863,3.282000064849853,3.0920000076293945,1.7059999704360962,2.437000036239624,1.462000012397766,22.229999542236328
02/07/2016 06:00,5.492000102996826,3.282000064849853,2.5230000019073486,1.4919999837875366,2.984999895095825,1.462000012397766,20.26000022888184
02/07/2016 07:00,5.625999927520752,3.2149999141693115,2.486999988555908,1.4919999837875366,3.075999975204468,1.5230000019073486,21.104000091552734
02/07/2016 08:00,5.559000015258789,3.282000064849853,2.594000101089477,1.6699999570846558,2.924000024795532,1.5230000019073486,20.61199951171875
